Anpara-B Unit5,Trend Graph 1 1 - TBFPS DATA,07/02/2026,11:35:04
,TagNo,Description,Units
1,BW-SE-401-402.out,BFPA TURBINE SPEED,%
2,PNL-BFPA-AI0100.out,BFPA SPEED COMMAND SIGNAL,rpm
3,BW-ZX-400.out,BFPA CV POSITION,%
4,BW-ZX-400-DMD.out,BFPA CV POSITION DEMAND,%
5,5PNL-BFPA-DI0280.out,BFPA RECIRC VLV (A) OR (B) FULL CLO,
6,BW-SE-404.out,BFPB TURBINE SPEED(A)(rpm),rpm
7,PNL-BFPB-AI0100.out,BFPB SPEED COMMAND SIGNAL,rpm
8,BW-ZX-401.out,BFPB CV POSITION,%
9,BW-ZX-401-DMD.out,BFPB CV POSITION DEMAND,%
10,5PNL-BFPB-DI0280.out,BFPB RECIRC VLV (A) OR (B) FULL CLO,

Date,Time,1,2,3,4,5,6,7,8,9,10
08/01/2026,13:30:00,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:01,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:02,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:03,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:04,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:05,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:06,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:07,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.1 ,0.0 ,OFF 
08/01/2026,13:30:08,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:09,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:10,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:11,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:12,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.1 ,0.0 ,OFF 
08/01/2026,13:30:13,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.1 ,0.0 ,OFF 
08/01/2026,13:30:14,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:15,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:16,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:17,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:18,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:19,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:20,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.1 ,0.0 ,OFF 
08/01/2026,13:30:21,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.1 ,0.0 ,OFF 
08/01/2026,13:30:22,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:23,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:24,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:25,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:26,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:27,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,0.0 ,0.0 ,OFF 
08/01/2026,13:30:28,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.1 ,0.0 ,OFF 
08/01/2026,13:30:29,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:30,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:31,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:32,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:33,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3604 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:34,0.0 ,3604 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:35,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:36,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:37,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:38,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
08/01/2026,13:30:39,0.0 ,3603 ,-0.1 ,0.0 ,OFF ,0 ,3603 ,-0.0 ,0.0 ,OFF 
